hour,baseline_load_mw
1,16339.27052
2,15523.83973
3,15369.71171
4,14622.56376
5,13527.21045
6,12423.40633
7,11577.25907
8,11069.84648
9,10680.48513
10,10502.04417
11,10745.31826
12,11078.12321
13,11427.69456
14,11778.49486
15,12478.11799
16,12784.05883
17,13201.06408
18,13314.28465
19,13302.49392
20,13167.63737
21,13068.90257
22,13148.2745
23,14381.45178
24,14634.10919
25,14414.83631
26,14031.78635
27,14001.29916
28,13493.94088
29,12697.58193
30,12269.53234
31,11525.05
32,11076.37902
33,10851.18048
34,10812.67388
35,11156.8106
36,12031.28645
37,13468.98409
38,14388.45726
39,14862.30982
40,15234.14282
41,15622.21036
42,15600.1499
43,15549.89143
44,15515.03381
45,15391.15247
46,15514.02391
47,16675.4712
48,17210.03169
49,16339.27052
50,15523.83973
51,15369.71171
52,14622.56376
53,13527.21045
54,12269.53234
55,11525.05
56,11076.37902
57,10851.18048
58,10812.67388
59,11156.8106
60,12031.28645
61,13469.42851
62,14388.45726
63,14862.30982
64,15234.14282
65,15622.21036
66,15600.1499
67,15549.89143
68,15515.03381
69,15391.15247
70,15496.80654
71,16675.47119
72,17210.03169
73,16339.27052
74,15523.83973
75,15369.71171
76,14622.56376
77,13527.21045
78,12269.53234
79,11525.05
80,11076.37902
81,10851.18048
82,10812.67388
83,11156.8106
84,12031.28645
85,13469.3731
86,14388.45726
87,14862.30982
88,15234.14282
89,15622.21036
90,15600.1499
91,15549.89143
92,15515.03381
93,15391.15247
94,15480.24346
95,16675.47117
96,17210.03169
97,16339.27052
98,15523.83973
99,15369.71171
100,14622.56376
101,13527.21045
102,12418.11574
103,11568.74229
104,11066.49195
105,10680.2096
106,10487.98909
107,10572.7806
108,10880.96243
109,11257.35975
110,11617.78126
111,12344.04499
112,12707.80382
113,13168.57006
114,13302.7944
115,13294.36294
116,13163.91826
117,13068.90257
118,13094.88861
119,14381.45175
120,14634.10919
121,14414.83631
122,14031.78635
123,14001.29916
124,13493.94088
125,12697.58193
126,12418.11574
127,11568.74229
128,11066.49195
129,10680.2096
130,10487.98909
131,10572.7806
132,10880.96243
133,11256.91721
134,11617.78126
135,12344.04499
136,12707.80382
137,13168.57006
138,13302.7944
139,13294.36294
140,13163.91826
141,13068.90257
142,13080.75779
143,14381.45174
144,14634.10919
145,14414.83631
146,14031.78635
147,14001.29916
148,13493.94088
149,12697.58193
150,12269.53234
151,11525.05
152,11076.37902
153,10851.18048
154,10812.67388
155,11156.8106
156,12031.28645
157,13466.76587
158,14388.45726
159,14862.30982
160,15234.14282
161,15622.21036
162,15600.1499
163,15549.89143
164,15515.03381
165,15391.15247
166,15427.69349
167,16675.41241
168,17210.03169
169,16339.27052
170,15523.83973
171,15369.71171
172,14622.56376
173,13527.21045
174,12269.53234
175,11525.05
176,11076.37902
177,10851.18048
178,10812.67388
179,11156.8106
180,12031.28645
181,13464.55194
182,14388.45726
183,14862.30982
184,15234.14282
185,15622.21036
186,15600.1499
187,15549.89143
188,15515.03381
189,15391.15247
190,15409.56897
191,16675.35366
192,17210.03169
193,16339.27052
194,15523.83973
195,15369.71171
196,14622.56376
197,13527.21045
198,12269.53234
199,11525.05
200,11076.37902
201,10851.18048
202,10812.67388
203,11156.8106
204,12031.28645
205,13463.04984
206,14388.45726
207,14862.30982
208,15234.14282
209,15622.21036
210,15600.1499
211,15549.89143
212,15515.03381
213,15391.15247
214,15390.67263
215,16675.29491
216,17210.03169
217,16339.27052
218,15523.83973
219,15369.71171
220,14622.56376
221,13527.21045
222,12269.53234
223,11525.05
224,11076.37902
225,10851.18048
226,10812.67388
227,11156.8106
228,12031.28645
229,13462.30343
230,14388.45726
231,14862.30982
232,15234.14282
233,15622.21036
234,15600.1499
235,15549.89143
236,15515.03381
237,15391.15247
238,15371.85661
239,16674.61721
240,17210.03169
241,16339.27052
242,15523.83973
243,15369.71171
244,14622.56376
245,13527.21045
246,12269.53234
247,11525.05
248,11076.37902
249,10851.18048
250,10812.67388
251,11156.8106
252,12031.28645
253,13458.96765
254,14388.45726
255,14862.30982
256,15234.14282
257,15622.21036
258,15600.1499
259,15549.89143
260,15515.03381
261,15391.15247
262,15354.54985
263,16672.86548
264,17210.03169
265,16339.27052
266,15523.83973
267,15369.71171
268,14622.56376
269,13527.21045
270,12418.11574
271,11568.74229
272,11066.49195
273,10680.2096
274,10487.98909
275,10572.7806
276,10880.96243
277,11245.76817
278,11617.78126
279,12344.04499
280,12707.80382
281,13168.57006
282,13302.7944
283,13294.36294
284,13163.91826
285,13068.90257
286,12994.32778
287,14377.09721
288,14634.10919
289,14414.83631
290,14031.78635
291,14001.29916
292,13493.94088
293,12697.58193
294,12418.11574
295,11568.74229
296,11066.49195
297,10680.2096
298,10487.98909
299,10572.7806
300,10880.96243
301,11243.43359
302,11617.78126
303,12344.04499
304,12707.80382
305,13168.57006
306,13302.7944
307,13294.36294
308,13163.91826
309,13068.90257
310,12980.06869
311,14374.77503
312,14634.10919
313,14414.83631
314,14031.78635
315,14001.29916
316,13493.94088
317,12697.58193
318,12269.53234
319,11525.05
320,11076.37902
321,10851.18048
322,10812.67388
323,11156.8106
324,12031.28645
325,13449.18752
326,14388.45726
327,14862.30982
328,15234.14282
329,15622.21036
330,15600.1499
331,15549.89143
332,15515.03381
333,15391.15247
334,15301.09282
335,16665.97584
336,17210.03169
337,16339.27052
338,15523.83973
339,15369.71171
340,14622.56376
341,13527.21045
342,12269.53234
343,11525.05
344,11076.37902
345,10851.18048
346,10812.67388
347,11156.8106
348,12031.28645
349,13445.38913
350,14388.45726
351,14862.30982
352,15234.14282
353,15622.21036
354,15600.1499
355,15549.89143
356,15515.03381
357,15391.15247
358,15283.82789
359,16662.08879
360,17210.03169
361,16339.27052
362,15523.83973
363,15369.71171
364,14622.56376
365,13527.21045
366,12269.53234
367,11525.05
368,11076.37902
369,10851.18048
370,10812.67388
371,11156.8106
372,12031.28645
373,13441.0068
374,14388.45726
375,14862.30982
376,15234.14282
377,15622.21036
378,15600.1499
379,15549.89143
380,15515.03381
381,15391.15247
382,15267.1152
383,16658.02116
384,17210.03169
385,16339.27052
386,15523.83973
387,15369.71171
388,14622.56376
389,13527.21045
390,12269.53234
391,11525.05
392,11076.37902
393,10851.18048
394,10812.67388
395,11156.8106
396,12031.28645
397,13437.27782
398,14388.45726
399,14862.30982
400,15234.14282
401,15622.21036
402,15600.1499
403,15549.89143
404,15515.03381
405,15391.15247
406,15249.30877
407,16653.72941
408,17210.03169
409,16339.27052
410,15523.83973
411,15369.71171
412,14622.56376
413,13527.21045
414,12269.53234
415,11525.05
416,11076.37902
417,10851.18048
418,10812.67388
419,11156.8106
420,12031.28645
421,13431.7481
422,14388.45726
423,14862.30982
424,15234.14282
425,15622.21036
426,15600.1499
427,15549.89143
