hour,ev_load_mw
1,12530
2,10637.5
3,9333.75
4,8008.75
5,6578.75
6,4731.25
7,3635
8,2767.5
9,2147.5
10,1791.25
11,1912.5
12,2960
13,5821.25
14,9231.25
15,9553.75
16,8428.75
17,7410
18,7047.5
19,7137.5
20,6936.25
21,7972.5
22,9360
23,11277.5
24,13037.5
25,12530
26,10637.5
27,9333.75
28,8008.75
29,6578.75
30,5428.75
31,4230
32,3313.75
33,2585
34,2141.25
35,2205
36,3351.25
37,6470
38,10575
39,11470
40,10566.25
41,9038.75
42,8605
43,8427.5
44,8168.75
45,9562.5
46,10901.25
47,12968.75
48,15105
49,14663.75
50,12342.5
51,10470
52,8958.75
53,7290
54,5428.75
55,4230
56,3313.75
57,2585
58,2141.25
59,2205
60,3351.25
61,6470
62,10575
63,11470
64,10566.25
65,9038.75
66,8605
67,8427.5
68,8168.75
69,9562.5
70,10901.25
71,12968.75
72,15105
73,14663.75
74,12342.5
75,10470
76,8958.75
77,7290
78,5428.75
79,4230
80,3313.75
81,2585
82,2141.25
83,2205
84,3351.25
85,6470
86,10575
87,11470
88,10566.25
89,9038.75
90,8605
91,8427.5
92,8168.75
93,9562.5
94,10901.25
95,12968.75
96,15105
97,14663.75
98,12342.5
99,10470
100,8958.75
101,7478.75
102,6307.5
103,4731.25
104,3766.25
105,2990
106,2362.5
107,2016.25
108,2301.25
109,3635
110,5656.25
111,7542.5
112,9365
113,10096.25
114,10802.5
115,10850
116,11735
117,11893.75
118,12048.75
119,13027.5
120,13627.5
121,13113.75
122,11537.5
123,10332.5
124,9240
125,7883.75
126,6075
127,4731.25
128,3766.25
129,2990
130,2362.5
131,2016.25
132,2301.25
133,3635
134,5656.25
135,7542.5
136,9365
137,10096.25
138,10802.5
139,10850
140,11735
141,11893.75
142,12048.75
143,13027.5
144,13627.5
145,13113.75
146,11537.5
147,10332.5
148,9240
149,7757.5
150,6015
151,4230
152,3313.75
153,2585
154,2141.25
155,2205
156,3351.25
157,6470
158,10575
159,11470
160,10566.25
161,9038.75
162,8605
163,8427.5
164,8168.75
165,9562.5
166,10901.25
167,12968.75
168,15105
169,14663.75
170,12342.5
171,10470
172,8958.75
173,7290
174,5428.75
175,4230
176,3313.75
177,2585
178,2141.25
179,2205
180,3351.25
181,6470
182,10575
183,11470
184,10566.25
185,9038.75
186,8605
187,8427.5
188,8168.75
189,9562.5
190,10901.25
191,12968.75
192,15105
193,14663.75
194,12342.5
195,10470
196,8958.75
197,7290
198,5428.75
199,4230
200,3313.75
201,2585
202,2141.25
203,2205
204,3351.25
205,6470
206,10575
207,11470
208,10566.25
209,9038.75
210,8605
211,8427.5
212,8168.75
213,9562.5
