hour,esh_load_mw
1,10866.72033
2,10787.46387
3,10299.16966
4,9500.298064
5,9004.815747
6,8307.240924
7,8027.59339
8,7828.723263
9,7543.166463
10,6972.457545
11,6170.491778
12,6217.768727
13,6498.776559
14,6581.380631
15,7001.124613
16,7174.968303
17,7533.873756
18,8282.709027
19,8709.806479
20,9234.939758
21,10098.21346
22,10957.67897
23,12255.39015
24,12840.92315
25,13412.88313
26,13733.46605
27,14404.37818
28,15259.43956
29,15444.06557
30,16100.45547
31,16876.46214
32,17051.64959
33,17594.20728
34,18078.47956
35,19053.52946
36,19320.99426
37,19490.17664
38,19749.11063
39,18970.42118
40,17856.87305
41,17302.40322
42,16157.22561
43,15737.19708
44,15578.83778
45,15334.75033
46,15678.0123
47,16278.4381
48,16505.19966
49,16815.55282
50,16643.57154
51,16064.60067
52,15318.9647
53,14972.38804
54,14620.20797
55,14344.9271
56,14259.61377
57,14196.02956
58,13963.9811
59,13677.25181
60,13843.14622
61,13796.44905
62,13892.32246
63,13577.11069
64,12904.72432
65,12487.06338
66,12536.15051
67,12377.0205
68,12455.28226
69,12588.15222
70,12940.55502
71,13507.02551
72,13659.07515
73,14163.5498
74,14528.39606
75,14507.40429
76,14961.30246
77,15097.13584
78,15297.20085
79,15678.47767
80,15470.75146
81,15634.91066
82,15845.15273
83,16899.99814
84,16990.47331
85,17003.64808
86,16875.64401
87,15650.33737
88,13112.66968
89,11878.50916
90,10569.28044
91,9777.468688
92,9313.613305
93,9180.574014
94,9377.001845
95,10277.18723
96,10723.86905
97,11311.09495
98,11683.11073
99,12086.22012
100,12533.94828
101,12843.97799
102,12996.33958
103,13274.7158
104,13130.53553
105,13289.10917
106,13363.65215
107,12823.98592
108,12799.655
109,12750.17061
110,12557.28111
111,11873.76162
112,11324.68358
113,11124.21078
114,10741.81151
115,10668.14927
116,10630.40386
117,10875.86329
118,11048.20968
119,11518.07549
120,11769.37612
121,11779.6271
122,11903.63167
123,12209.23123
124,12650.6291
125,12847.87067
126,12965.44251
127,12999.28795
128,13091.98276
129,12970.74098
130,12815.21618
131,12967.53759
132,12761.00005
133,12699.86045
134,12512.06758
135,12171.8416
136,11177.54473
137,10709.31923
138,10523.45924
139,10430.76342
140,10880.85621
141,11796.94978
142,12853.81422
143,14571.63986
144,15739.66491
145,16691.02962
146,17397.12791
147,18772.93344
148,20443.19581
149,20881.40765
150,22016.91938
151,22861.04444
152,23465.65719
153,24312.38248
154,25145.83482
155,27378.60543
156,27474.73217
157,27721.48196
158,27634.83704
159,26046.47512
160,24420.68944
161,23564.45014
162,22091.06937
163,21235.77979
164,20817.03422
165,20184.14393
166,20203.80668
167,19619.88047
168,19335.86306
169,19581.2073
170,19506.00212
171,18859.15463
172,18199.30653
173,17717.30931
174,16718.41828
175,16259.26254
176,15893.16274
177,15208.17141
178,14832.49816
179,13964.38228
180,13933.56007
181,13739.91329
182,13565.23766
183,12963.64477
184,12086.59403
185,12139.38953
186,11662.36285
187,11330.62915
188,11205.71938
