hour,wind_generation_kwh,,,average = ,0.392382769,kWh-year per kW,,,,
1,0.29174564,,,,this is the capacity factor,,,,,
2,0.349273576,,,,,,,,,
3,0.417084996,,,buy $300,,,,300 days in a year,,
4,0.487431897,,,4% interest,,,,we charge in the day and discharge at night,,
5,0.570510491,,,15 years,,,, $30.0 ,/kWh-year,
6,0.659683417,,,you need to pay ,($26.98),,,30/300cycles,=,10cents/cycle
7,0.720899151,,,,,,,,,
8,0.795639473,,,,,,,but the battery can't be fully charged per day,,
9,0.810004902,,,,,,,maximum 365 kWh/year per kWh capacity,,
10,0.839919592,,,,,,,,,
11,0.863602761,,,,,,,65 days so cloudy,,
12,0.86609694,,,,,,,battery will cost only 1 day,,
13,0.867907238,,,,,,,,,
14,0.856254613,,,,,,,,,
15,0.791445673,,,,,,,,,
16,0.725987505,,,,,,,,,
17,0.673870945,,,,,,,,,
18,0.616436688,,,,,,,,,
19,0.568029386,,,,,,,,,
20,0.548598679,,,,,,,,,
21,0.498738186,,,,,,,,,
22,0.432204766,,,,,,,,,
23,0.371506764,,,,,,,,,
24,0.389829825,,,,,,,,,
25,0.417036372,,,,,,,,,
26,0.449124186,,,,,,,,,
27,0.488990831,,,,,,,,,
28,0.536357001,,,,,,,,,
29,0.671424458,,,,,,,,,
30,0.772056756,,,,,,,,,
31,0.835158867,,,,,,,,,
32,0.840319414,,,,,,,,,
33,0.856220539,,,,,,,,,
34,0.870724545,,,,,,,,,
35,0.864291301,,,,,,,,,
36,0.855724069,,,,,,,,,
37,0.846283978,,,,,,,,,
38,0.826878083,,,,,,,,,
39,0.807584955,,,,,,,,,
40,0.792073062,,,,,,,,,
41,0.772104173,,,,,,,,,
42,0.753302114,,,,,,,,,
43,0.72919715,,,,,,,,,
44,0.685808471,,,,,,,,,
45,0.633432251,,,,,,,,,
46,0.658957259,,,,,,,,,
47,0.692568043,,,,,,,,,
48,0.682830314,,,,,,,,,
49,0.652830595,,,,,,,,,
50,0.607019472,,,,,,,,,
51,0.547960612,,,,,,,,,
52,0.481757841,,,,,,,,,
53,0.433014248,,,,,,,,,
54,0.393846193,,,,,,,,,
55,0.374366282,,,,,,,,,
56,0.367342961,,,,,,,,,
57,0.364546953,,,,,,,,,
58,0.365290539,,,,,,,,,
59,0.363749603,,,,,,,,,
60,0.380509826,,,,,,,,,
61,0.419424085,,,,,,,,,
62,0.462886562,,,,,,,,,
63,0.518497728,,,,,,,,,
64,0.528482683,,,,,,,,,
65,0.558166418,,,,,,,,,
66,0.613827681,,,,,,,,,
67,0.65717956,,,,,,,,,
68,0.703855736,,,,,,,,,
69,0.739323584,,,,,,,,,
70,0.804076215,,,,,,,,,
71,0.850898789,,,,,,,,,
72,0.86130977,,,,,,,,,
73,0.869309356,,,,,,,,,
74,0.866391798,,,,,,,,,
75,0.853625811,,,,,,,,,
76,0.823137254,,,,,,,,,
77,0.783608094,,,,,,,,,
78,0.756980411,,,,,,,,,
79,0.730489475,,,,,,,,,
80,0.709859252,,,,,,,,,
81,0.688625292,,,,,,,,,
82,0.669432676,,,,,,,,,
83,0.666509573,,,,,,,,,
84,0.651001069,,,,,,,,,
85,0.657486937,,,,,,,,,
86,0.663112396,,,,,,,,,
87,0.60299134,,,,,,,,,
88,0.505256825,,,,,,,,,
89,0.443487798,,,,,,,,,
90,0.445717774,,,,,,,,,
91,0.433022635,,,,,,,,,
92,0.461822297,,,,,,,,,
93,0.541485232,,,,,,,,,
94,0.636021947,,,,,,,,,
95,0.681540035,,,,,,,,,
96,0.681800683,,,,,,,,,
97,0.686332759,,,,,,,,,
98,0.683494601,,,,,,,,,
99,0.6661955,,,,,,,,,
